Year,Area Description,Species,Pounds,Trips,Average Price,Estimated Value
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_GAG,136577,564,4.09,558274
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_MIXED,4,1,2.54,9
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_OTHER,3625,91,2.87,10409
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_RED,1182821,701,2.72,3220597
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_SCAMP,33829,357,3.8,128448
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_SNOWY,5749,22,2.88,16573
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_WARSAW,836,11,2.56,2143
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_YELLOWEDGE,8974,22,3.81,34229
2012,CRYSTAL RIVER-TARPON SPRINGS,GROUPER_YELLOWFIN,86,3,4.08,351
2012,CRYSTAL RIVER-TARPON SPRINGS,GRUNTS,75600,565,0.8,60120
2012,CRYSTAL RIVER-TARPON SPRINGS,HOGFISH,22652,102,4.01,90724
2012,CRYSTAL RIVER-TARPON SPRINGS,PORGIES,66360,482,1.43,95107
2012,CRYSTAL RIVER-TARPON SPRINGS,SEA BASS_MIXED,2593,156,0.86,2218
2012,CRYSTAL RIVER-TARPON SPRINGS,SNAPPER_GREY (MANGROVE),34494,444,2.67,92098
2012,CRYSTAL RIVER-TARPON SPRINGS,SNAPPER_LANE,837,132,2.01,1684
2012,CRYSTAL RIVER-TARPON SPRINGS,SNAPPER_MUTTON,231,13,2.38,550
2012,CRYSTAL RIVER-TARPON SPRINGS,SNAPPER_OTHER,560,13,3.12,1745
2012,CRYSTAL RIVER-TARPON SPRINGS,SNAPPER_RED,110800,373,3.97,439534
2012,CRYSTAL RIVER-TARPON SPRINGS,SNAPPER_SILK,588,9,3.29,1932
2012,CRYSTAL RIVER-TARPON SPRINGS,SNAPPER_VERMILION,43624,301,2.75,119813
2012,CRYSTAL RIVER-TARPON SPRINGS,SNAPPER_YELLOWTAIL,194,12,2.83,550
2012,CRYSTAL RIVER-TARPON SPRINGS,TILEFISH (GOLDEN),11432,10,2.42,27717
2012,CRYSTAL RIVER-TARPON SPRINGS,TILEFISH_BLUELINE (GRAY),6079,9,1.78,10809
2012,CRYSTAL RIVER-TARPON SPRINGS,TRIGGERFISH,3483,104,1.76,6146
2012,DESTIN,AMBERJACKS,19069,119,1.33,25311
2012,DESTIN,GROUPER_GAG,8782,89,4.09,35959
2012,DESTIN,GROUPER_OTHER,152,7,3.09,471
2012,DESTIN,GROUPER_RED,24308,152,3.11,75683
2012,DESTIN,GROUPER_SCAMP,6186,110,4.1,25392
2012,DESTIN,GROUPER_SNOWY,4870,53,3.01,14659
2012,DESTIN,GROUPER_WARSAW,694,15,3.08,2138
2012,DESTIN,GROUPER_YELLOWEDGE,50865,25,3.79,192901
2012,DESTIN,GRUNTS,42,1,0.75,32
2012,DESTIN,PORGIES,44886,191,1.25,56149
2012,DESTIN,SNAPPER_GREY (MANGROVE),265,22,2.11,560
2012,DESTIN,SNAPPER_LANE,302,43,2.69,814
2012,DESTIN,SNAPPER_MUTTON,8,1,2.48,19
2012,DESTIN,SNAPPER_OTHER,389,11,1.38,535
2012,DESTIN,SNAPPER_RED,182229,167,3.09,563643
2012,DESTIN,SNAPPER_VERMILION,146025,193,2.93,428337
2012,DESTIN,TILEFISH (GOLDEN),31257,13,2.26,70596
2012,DESTIN,TILEFISH_BLUELINE (GRAY),221,8,0.93,205
2012,DESTIN,TRIGGERFISH,5175,73,2.03,10485
2012,EVERGLADES,AMBERJACKS,9061,11,0.88,7941
2012,EVERGLADES,GROUPER_BLACK,4151,20,3.45,14301
2012,EVERGLADES,GROUPER_GAG,10504,29,3.93,41324
2012,EVERGLADES,GROUPER_OTHER,6459,22,2.72,17546
2012,EVERGLADES,GROUPER_RED,119139,49,2.65,315839
2012,EVERGLADES,GROUPER_SCAMP,6300,33,3.54,22317
2012,EVERGLADES,GROUPER_SNOWY,11991,17,2.66,31840
2012,EVERGLADES,GROUPER_WARSAW,890,9,2.57,2284
2012,EVERGLADES,GROUPER_YELLOWEDGE,33533,17,3.81,127753
2012,EVERGLADES,GRUNTS,608,6,2.16,1310
2012,EVERGLADES,HOGFISH,9,1,4.28,40
2012,EVERGLADES,PORGIES,4290,26,0.88,3783
2012,EVERGLADES,SNAPPER_GREY (MANGROVE),1898,25,1.26,2385
2012,EVERGLADES,SNAPPER_LANE,79,6,1.28,101
2012,EVERGLADES,SNAPPER_MUTTON,7324,21,1.94,14186
2012,EVERGLADES,SNAPPER_OTHER,3997,13,3.09,12366
2012,EVERGLADES,SNAPPER_RED,6076,11,2.12,12866
2012,EVERGLADES,SNAPPER_SILK,1507,10,3.39,5106
2012,EVERGLADES,SNAPPER_VERMILION,1066,12,2.46,2619
2012,EVERGLADES,SNAPPER_YELLOWTAIL,10572,34,1.52,16046
2012,EVERGLADES,TILEFISH (GOLDEN),1135,6,2.75,3121
2012,EVERGLADES,TILEFISH_BLUELINE (GRAY),214,3,1.04,222
2012,EVERGLADES,TRIGGERFISH,70,6,1.01,71
2012,FORT MYERS,AMBERJACKS,11053,68,1.34,14817
2012,FORT MYERS,GROUPER_BLACK,22930,157,3.75,85956
2012,FORT MYERS,GROUPER_GAG,71514,328,3.87,276830
2012,FORT MYERS,GROUPER_OTHER,24009,131,2.75,66072
2012,FORT MYERS,GROUPER_RED,1352476,522,2.72,3677990
2012,FORT MYERS,GROUPER_SCAMP,48579,297,3.63,176336
2012,FORT MYERS,GROUPER_SNOWY,56623,100,2.82,159425
2012,FORT MYERS,GROUPER_WARSAW,2291,25,2.59,5939
2012,FORT MYERS,GROUPER_YELLOWEDGE,157196,102,3.68,579081
2012,FORT MYERS,GRUNTS,5732,84,0.88,5060
2012,FORT MYERS,HOGFISH,1783,38,1.81,3222
2012,FORT MYERS,PORGIES,17103,209,1.29,22104
2012,FORT MYERS,SEA BASS_MIXED,50,5,0.81,40
2012,FORT MYERS,SNAPPER_GREY (MANGROVE),19232,351,2.51,48328
2012,FORT MYERS,SNAPPER_LANE,3010,106,1.8,5412
2012,FORT MYERS,SNAPPER_MUTTON,29331,128,2.42,71112
2012,FORT MYERS,SNAPPER_OTHER,5097,75,3.05,15557
2012,FORT MYERS,SNAPPER_RED,47220,182,3.89,183586
2012,FORT MYERS,SNAPPER_SILK,2260,45,3.17,7169
2012,FORT MYERS,SNAPPER_VERMILION,7083,71,2.75,19481
2012,FORT MYERS,SNAPPER_YELLOWTAIL,1646,44,3.14,5161
2012,FORT MYERS,TILEFISH (GOLDEN),12193,31,2.64,32142
2012,FORT MYERS,TILEFISH_BLUELINE (GRAY),62515,56,1.05,65477
2012,FORT MYERS,TRIGGERFISH,449,22,1.15,515
2012,FORT PIERCE,AMBERJACKS,67413,196,1,67280
2012,FORT PIERCE,GROUPER_BLACK,2220,35,4.27,9476
2012,FORT PIERCE,GROUPER_GAG,22406,165,4.41,98888
2012,FORT PIERCE,GROUPER_OTHER,8,1,2.97,25
2012,FORT PIERCE,GROUPER_RED,910,57,3.31,3017
2012,FORT PIERCE,GROUPER_SCAMP,182,13,4.01,732
2012,FORT PIERCE,GROUPER_SNOWY,5381,66,3.72,20019
2012,FORT PIERCE,GRUNTS,2245,228,0.81,1819
2012,FORT PIERCE,HOGFISH,113,11,4.32,486
2012,FORT PIERCE,PORGIES,562,36,1.79,1009
2012,FORT PIERCE,SEA BASS_MIXED,7709,115,1.85,14235
2012,FORT PIERCE,SNAPPER_GREY (MANGROVE),4566,133,3.8,17341
2012,FORT PIERCE,SNAPPER_LANE,259,15,2.55,658
2012,FORT PIERCE,SNAPPER_MIXED,6,1,1.8,10
2012,FORT PIERCE,SNAPPER_MUTTON,2086,64,3.25,6776
2012,FORT PIERCE,SNAPPER_OTHER,65,3,2.51,163
2012,FORT PIERCE,SNAPPER_RED,1344,28,4.55,6122
2012,FORT PIERCE,SNAPPER_SILK,30,1,4.05,122
2012,FORT PIERCE,SNAPPER_VERMILION,138,15,2.69,370
2012,FORT PIERCE,SNAPPER_YELLOWTAIL,64,8,2.51,162
2012,FORT PIERCE,TILEFISH (GOLDEN),203348,296,2.64,535862
2012,FORT PIERCE,TILEFISH_BLUELINE (GRAY),261,16,1.89,494
2012,FORT PIERCE,TRIGGERFISH,3191,101,1.98,6314
2012,JACKSONVILLE,AMBERJACKS,45487,146,0.98,44362
2012,JACKSONVILLE,GROUPER_GAG,23776,89,4.05,96364
2012,JACKSONVILLE,GROUPER_OTHER,228,27,2.62,599
2012,JACKSONVILLE,GROUPER_RED,2540,27,3.02,7666
2012,JACKSONVILLE,GROUPER_SCAMP,12424,81,4.03,50120
2012,JACKSONVILLE,GROUPER_SNOWY,1548,19,3.04,4699
2012,JACKSONVILLE,GROUPER_YELLOWEDGE,8,1,3.6,30
2012,JACKSONVILLE,GRUNTS,994,85,0.51,511
2012,JACKSONVILLE,HOGFISH,1208,7,3.77,4556
2012,JACKSONVILLE,PORGIES,16795,125,1.94,32518
2012,JACKSONVILLE,SEA BASS_MIXED,5959,51,1.93,11518
2012,JACKSONVILLE,SNAPPER_GREY (MANGROVE),3303,94,1.9,6273
2012,JACKSONVILLE,SNAPPER_MUTTON,8922,86,2.17,19329
2012,JACKSONVILLE,SNAPPER_OTHER,212,3,1.35,287
2012,JACKSONVILLE,SNAPPER_RED,558,11,4.5,2514
2012,JACKSONVILLE,SNAPPER_SILK,32,7,3.11,100
2012,JACKSONVILLE,SNAPPER_VERMILION,175409,163,3.14,551003
2012,JACKSONVILLE,SNAPPER_YELLOWTAIL,132,16,3.08,408
2012,JACKSONVILLE,TILEFISH_BLUELINE (GRAY),36,1,1.12,40
2012,JACKSONVILLE,TRIGGERFISH,48214,176,1.72,82926
2012,KEY WEST,AMBERJACKS,70282,163,1.21,84976
2012,KEY WEST,GROUPER_BLACK,16393,216,3.67,60198
2012,KEY WEST,GROUPER_GAG,426,21,3.9,1659
2012,KEY WEST,GROUPER_OTHER,305,23,2.79,852
2012,KEY WEST,GROUPER_RED,6658,160,3.2,21285
2012,KEY WEST,GROUPER_SCAMP,313,14,4.39,1374
2012,KEY WEST,GROUPER_SNOWY,7253,78,3.59,26011
2012,KEY WEST,GROUPER_WARSAW,107,1,2.63,282
2012,KEY WEST,GROUPER_YELLOWEDGE,353,10,3.75,1324
2012,KEY WEST,GROUPER_YELLOWFIN,62,4,4.66,287
2012,KEY WEST,GRUNTS,16231,332,1.05,17101
2012,KEY WEST,HOGFISH,5515,226,3.42,18871
2012,KEY WEST,PORGIES,8171,137,1.59,12982
2012,KEY WEST,SNAPPER_GREY (MANGROVE),45469,626,2.14,97359
2012,KEY WEST,SNAPPER_LANE,1164,51,2.21,2577
2012,KEY WEST,SNAPPER_MUTTON,19888,447,2.59,51517
2012,KEY WEST,SNAPPER_OTHER,331,25,2.6,859
2012,KEY WEST,SNAPPER_RED,607,1,4.01,2434
2012,KEY WEST,SNAPPER_SILK,1853,13,3.22,5962
2012,KEY WEST,SNAPPER_VERMILION,67,3,2.63,176
2012,KEY WEST,SNAPPER_YELLOWTAIL,698969,1959,2.86,2002089
2012,KEY WEST,TILEFISH (GOLDEN),620,5,3.33,2066
2012,KEY WEST,TILEFISH_BLUELINE (GRAY),3444,28,1.61,5562
2012,KEY WEST,TRIGGERFISH,1876,89,1.54,2897
2012,MARATHON,AMBERJACKS,150320,275,1.15,173432
2012,MARATHON,GROUPER_BLACK,19796,219,3.61,71555
2012,MARATHON,GROUPER_GAG,196,5,2.94,576
2012,MARATHON,GROUPER_OTHER,248,11,3.08,762
2012,MARATHON,GROUPER_RED,3710,111,2.96,10974
2012,MARATHON,GROUPER_SCAMP,13,1,3.39,44
2012,MARATHON,GROUPER_SNOWY,5987,75,3.44,20571
2012,MARATHON,GROUPER_YELLOWEDGE,222,5,3.73,829
2012,MARATHON,GRUNTS,5644,103,1.17,6602
2012,MARATHON,HOGFISH,2262,108,3.59,8118
2012,MARATHON,PORGIES,8252,53,0.99,8163
2012,MARATHON,SEA BASS_MIXED,392,1,2.54,996
2012,MARATHON,SNAPPER_GREY (MANGROVE),31472,502,2.25,70901
2012,MARATHON,SNAPPER_LANE,159,12,1.84,292
2012,MARATHON,SNAPPER_MIXED,230,4,2.7,621
2012,MARATHON,SNAPPER_MUTTON,14474,322,2.94,42586
2012,MARATHON,SNAPPER_OTHER,365,16,2.96,1081
2012,MARATHON,SNAPPER_RED,310,5,3,929
2012,MARATHON,SNAPPER_SILK,157,5,2.75,431
2012,MARATHON,SNAPPER_VERMILION,13,1,3.15,41
2012,MARATHON,SNAPPER_YELLOWTAIL,308534,1520,2.89,892970
2012,MARATHON,TILEFISH (GOLDEN),51,1,3.13,160
2012,MARATHON,TILEFISH_BLUELINE (GRAY),1062,34,1.88,1999
2012,MARATHON,TRIGGERFISH,2162,42,1.91,4118
2012,MIAMI,AMBERJACKS,261026,397,1.14,297160
2012,MIAMI,GROUPER_BLACK,5200,128,3.61,18770
2012,MIAMI,GROUPER_GAG,148,11,4.04,596
2012,MIAMI,GROUPER_OTHER,53,5,3.31,176
2012,MIAMI,GROUPER_RED,1094,77,3.27,3575
2012,MIAMI,GROUPER_SNOWY,10127,88,3.39,34328
2012,MIAMI,GROUPER_YELLOWEDGE,1464,25,3.2,4680
2012,MIAMI,GRUNTS,7480,149,1.22,9138
2012,MIAMI,HOGFISH,1493,110,3.14,4681
2012,MIAMI,PORGIES,946,22,1.21,1146
2012,MIAMI,SNAPPER_GREY (MANGROVE),6535,147,2.25,14721
2012,MIAMI,SNAPPER_MUTTON,11393,416,2.87,32728
2012,MIAMI,SNAPPER_OTHER,779,22,1.31,1023
2012,MIAMI,SNAPPER_RED,31,1,3.15,98
2012,MIAMI,SNAPPER_SILK,563,5,3.98,2243
2012,MIAMI,SNAPPER_VERMILION,990,6,3.58,3546
2012,MIAMI,SNAPPER_YELLOWTAIL,108401,667,3.06,332091
2012,MIAMI,TILEFISH (GOLDEN),1471,4,2.65,3904
2012,MIAMI,TILEFISH_BLUELINE (GRAY),423,16,1.25,529
2012,MIAMI,TRIGGERFISH,2636,125,1.36,3595
2012,Out-of-State,AMBERJACKS,31532,153,0.98,31041
2012,Out-of-State,GROUPER_GAG,23443,112,4.06,95206
2012,Out-of-State,GROUPER_OTHER,172,28,2.78,478
2012,Out-of-State,GROUPER_RED,26291,146,2.81,73980
2012,Out-of-State,GROUPER_SCAMP,18327,175,4,73263
2012,Out-of-State,GROUPER_SNOWY,7995,70,3.32,26526
2012,Out-of-State,GROUPER_WARSAW,1350,19,3.1,4189
2012,Out-of-State,GROUPER_YELLOWEDGE,33323,39,4.09,136220
2012,Out-of-State,GRUNTS,472,25,0.51,240
2012,Out-of-State,HOGFISH,279,3,3.68,1025
2012,Out-of-State,PORGIES,54909,188,1.2,66153
2012,Out-of-State,SEA BASS_MIXED,1134,13,1.94,2202
2012,Out-of-State,SNAPPER_GREY (MANGROVE),875,49,1.93,1686
2012,Out-of-State,SNAPPER_LANE,532,77,2.59,1376
2012,Out-of-State,SNAPPER_MUTTON,799,15,1.8,1440
2012,Out-of-State,SNAPPER_OTHER,1381,25,2.14,2958
2012,Out-of-State,SNAPPER_RED,385556,151,4.15,1599647
2012,Out-of-State,SNAPPER_SILK,3634,8,3.01,10952
2012,Out-of-State,SNAPPER_VERMILION,276074,185,2.99,825284
2012,Out-of-State,SNAPPER_YELLOWTAIL,20,3,2.33,47
2012,Out-of-State,TILEFISH (GOLDEN),26036,16,2.24,58213
2012,Out-of-State,TILEFISH_BLUELINE (GRAY),408,45,0.94,384
2012,Out-of-State,TRIGGERFISH,13510,93,1.82,24589
2012,PANAMA CITY,AMBERJACKS,49869,322,1.13,56168
2012,PANAMA CITY,GROUPER_BLACK,98,1,4.24,415
2012,PANAMA CITY,GROUPER_GAG,108600,575,3.92,426047
2012,PANAMA CITY,GROUPER_OTHER,1733,65,2.76,4782
2012,PANAMA CITY,GROUPER_RED,340998,753,2.8,953251
2012,PANAMA CITY,GROUPER_SCAMP,46701,534,3.86,180299
2012,PANAMA CITY,GROUPER_SNOWY,9395,63,3.1,29114
2012,PANAMA CITY,GROUPER_WARSAW,2227,30,2.73,6071
2012,PANAMA CITY,GROUPER_YELLOWEDGE,100535,56,3.81,382878
2012,PANAMA CITY,GRUNTS,628,24,0.63,399
2012,PANAMA CITY,HOGFISH,1,1,3.8,4
2012,PANAMA CITY,PORGIES,320968,788,1.15,369031
2012,PANAMA CITY,SEA BASS_MIXED,121,19,1.25,151
2012,PANAMA CITY,SNAPPER_GREY (MANGROVE),21170,461,1.89,39960
2012,PANAMA CITY,SNAPPER_LANE,4719,415,2.45,11576
2012,PANAMA CITY,SNAPPER_MUTTON,37,2,1.8,66
2012,PANAMA CITY,SNAPPER_OTHER,9469,31,0.52,4952
2012,PANAMA CITY,SNAPPER_RED,470656,635,3.28,1543138
2012,PANAMA CITY,SNAPPER_SILK,1567,13,2.65,4161
2012,PANAMA CITY,SNAPPER_VERMILION,645384,794,2.6,1680213
2012,PANAMA CITY,SNAPPER_YELLOWTAIL,352,3,3.43,1207
2012,PANAMA CITY,TILEFISH (GOLDEN),66466,41,2.31,153700
2012,PANAMA CITY,TILEFISH_BLUELINE (GRAY),460,22,1.14,527
2012,PANAMA CITY,TRIGGERFISH,37890,396,1.66,62745
2012,PENSACOLA,AMBERJACKS,7140,90,1.3,9284
2012,PENSACOLA,GROUPER_GAG,4495,143,2.93,13162
2012,PENSACOLA,GROUPER_OTHER,64,5,2.79,178
2012,PENSACOLA,GROUPER_RED,2720,135,2.62,7122
2012,PENSACOLA,GROUPER_SCAMP,8938,243,3.22,28745
2012,PENSACOLA,GROUPER_SNOWY,2014,74,3,6050
2012,PENSACOLA,GROUPER_WARSAW,271,5,2.86,775
2012,PENSACOLA,GROUPER_YELLOWEDGE,7914,29,4.2,33272
2012,PENSACOLA,PORGIES,55251,274,1.11,61246
2012,PENSACOLA,SEA BASS_MIXED,27,1,1.27,35
2012,PENSACOLA,SNAPPER_GREY (MANGROVE),43,6,2.34,102
2012,PENSACOLA,SNAPPER_LANE,97,16,2.34,226
2012,PENSACOLA,SNAPPER_OTHER,573,5,0.43,244
2012,PENSACOLA,SNAPPER_RED,191638,324,3.24,620884
2012,PENSACOLA,SNAPPER_SILK,3,1,4.5,15
2012,PENSACOLA,SNAPPER_VERMILION,224979,289,2.88,647403
2012,PENSACOLA,TILEFISH (GOLDEN),12370,9,2.63,32547
2012,PENSACOLA,TILEFISH_BLUELINE (GRAY),95,7,1.3,124
2012,PENSACOLA,TRIGGERFISH,2850,97,1.54,4382
2012,ST. AUGUSTINE,AMBERJACKS,206528,273,1.21,249617
2012,ST. AUGUSTINE,GROUPER_GAG,36948,131,4.09,151149
2012,ST. AUGUSTINE,GROUPER_OTHER,6,2,2.97,18
2012,ST. AUGUSTINE,GROUPER_RED,2954,53,3.04,8980
2012,ST. AUGUSTINE,GROUPER_SCAMP,8699,77,4.04,35141
2012,ST. AUGUSTINE,GROUPER_SNOWY,7760,78,3.45,26753
2012,ST. AUGUSTINE,GROUPER_YELLOWEDGE,12,1,3.6,43
2012,ST. AUGUSTINE,GRUNTS,485,50,0.7,341
2012,ST. AUGUSTINE,HOGFISH,923,23,3.49,3226
2012,ST. AUGUSTINE,PORGIES,11995,133,1.92,23024
2012,ST. AUGUSTINE,SEA BASS_MIXED,39277,93,1.85,72513
2012,ST. AUGUSTINE,SNAPPER_GREY (MANGROVE),7949,180,2.68,21309
2012,ST. AUGUSTINE,SNAPPER_LANE,276,8,2.28,629
2012,ST. AUGUSTINE,SNAPPER_MUTTON,5299,45,2.63,13921
2012,ST. AUGUSTINE,SNAPPER_OTHER,962,21,1.56,1505
2012,ST. AUGUSTINE,SNAPPER_RED,1579,29,4.41,6971
2012,ST. AUGUSTINE,SNAPPER_SILK,96,5,3.42,328
2012,ST. AUGUSTINE,SNAPPER_VERMILION,83105,147,3,248941
2012,ST. AUGUSTINE,SNAPPER_YELLOWTAIL,27,6,3.26,89
2012,ST. AUGUSTINE,TILEFISH (GOLDEN),152580,88,2.49,379799
2012,ST. AUGUSTINE,TILEFISH_BLUELINE (GRAY),153,4,1.69,258
2012,ST. AUGUSTINE,TRIGGERFISH,21786,216,1.83,39965
2012,TAMPA,AMBERJACKS,19423,63,1.15,22324
2012,TAMPA,GROUPER_BLACK,10827,116,3.41,36957
2012,TAMPA,GROUPER_GAG,123519,624,3.93,485689
2012,TAMPA,GROUPER_OTHER,7776,129,2.72,21154
2012,TAMPA,GROUPER_RED,2144189,810,2.69,5763044
2012,TAMPA,GROUPER_SCAMP,63229,449,3.63,229602
2012,TAMPA,GROUPER_SNOWY,24310,55,2.77,67234
2012,TAMPA,GROUPER_WARSAW,3818,27,2.42,9255
2012,TAMPA,GROUPER_YELLOWEDGE,88031,60,3.84,337927
2012,TAMPA,GROUPER_YELLOWFIN,20,1,4.03,80
2012,TAMPA,GRUNTS,33070,416,1.02,33706
2012,TAMPA,HOGFISH,13851,157,4.16,57591
2012,TAMPA,PORGIES,31422,355,1.13,35547
2012,TAMPA,SEA BASS_MIXED,1534,49,1.23,1893
2012,TAMPA,SNAPPER_GREY (MANGROVE),23927,480,2.24,53482
2012,TAMPA,SNAPPER_LANE,892,140,1.65,1472
2012,TAMPA,SNAPPER_MUTTON,4597,43,2.36,10851
2012,TAMPA,SNAPPER_OTHER,788,20,2.76,2177
2012,TAMPA,SNAPPER_RED,95520,387,3.94,376479
2012,TAMPA,SNAPPER_SILK,1302,46,3.01,3923
2012,TAMPA,SNAPPER_VERMILION,16291,182,2.44,39826
2012,TAMPA,SNAPPER_YELLOWTAIL,300,23,2.7,811
2012,TAMPA,TILEFISH (GOLDEN),5008,32,2.33,11671
2012,TAMPA,TILEFISH_BLUELINE (GRAY),7175,16,1.04,7427
2012,TAMPA,TRIGGERFISH,1574,63,0.97,1525
2012,TORTUGAS,AMBERJACKS,60451,111,1.21,73237
2012,TORTUGAS,GROUPER_BLACK,15999,137,3.64,58167
2012,TORTUGAS,GROUPER_GAG,4583,33,3.85,17625
2012,TORTUGAS,GROUPER_OTHER,5747,67,2.68,15404
2012,TORTUGAS,GROUPER_RED,147369,180,2.75,405549
2012,TORTUGAS,GROUPER_SCAMP,8963,63,3.46,31036
2012,TORTUGAS,GROUPER_SNOWY,27198,69,3.1,84210
2012,TORTUGAS,GROUPER_WARSAW,2594,9,2.6,6745
2012,TORTUGAS,GROUPER_YELLOWEDGE,24638,41,3.82,94156
2012,TORTUGAS,GRUNTS,5245,170,0.92,4820
2012,TORTUGAS,HOGFISH,1770,79,2.82,4984
2012,TORTUGAS,PORGIES,6898,107,1.07,7379
2012,TORTUGAS,SNAPPER_GREY (MANGROVE),38732,365,2.06,79698
2012,TORTUGAS,SNAPPER_LANE,466,39,2.16,1008
2012,TORTUGAS,SNAPPER_MUTTON,49554,340,2.32,115041
2012,TORTUGAS,SNAPPER_OTHER,9337,61,3.08,28740
2012,TORTUGAS,SNAPPER_RED,2283,16,3.75,8552
2012,TORTUGAS,SNAPPER_SILK,26419,58,3.36,88680
2012,TORTUGAS,SNAPPER_VERMILION,16254,45,2.63,42709
2012,TORTUGAS,SNAPPER_YELLOWTAIL,955865,1102,2.9,2775760
2012,TORTUGAS,TILEFISH (GOLDEN),16402,19,2.74,44961
2012,TORTUGAS,TILEFISH_BLUELINE (GRAY),13870,40,1.67,23208
2012,TORTUGAS,TRIGGERFISH,756,37,1.28,965
2012,WEST PALM BEACH,AMBERJACKS,83742,382,0.87,73087
2012,WEST PALM BEACH,GROUPER_BLACK,1263,30,4.23,5346
2012,WEST PALM BEACH,GROUPER_GAG,4504,69,4.46,20106
2012,WEST PALM BEACH,GROUPER_OTHER,11,6,3.3,35
2012,WEST PALM BEACH,GROUPER_RED,951,38,3.65,3467
2012,WEST PALM BEACH,GROUPER_SCAMP,18,3,4.24,75
2012,WEST PALM BEACH,GROUPER_SNOWY,8303,104,4.11,34137
2012,WEST PALM BEACH,GROUPER_YELLOWEDGE,575,13,3.82,2198
2012,WEST PALM BEACH,GRUNTS,11273,525,1.04,11757
